Irradiancia,Hora
0,00:00
0,00:05
0,00:10
0,00:15
0,00:20
0,00:25
0,00:30
0,00:35
0,00:40
0,00:45
0,00:50
0,00:55
0,01:00
0,01:05
0,01:10
0,01:15
0,01:20
0,01:25
0,01:30
0,01:35
0,01:40
0,01:45
0,01:50
0,01:55
0,02:00
0,02:05
0,02:10
0,02:15
0,02:20
0,02:25
0,02:30
0,02:35
0,02:40
0,02:45
0,02:50
0,02:55
0,03:00
0,03:05
0,03:10
0,03:15
0,03:20
0,03:25
0,03:30
0,03:35
0,03:40
0,03:45
0,03:50
0,03:55
0,04:00
0,04:05
0,04:10
0,04:15
0,04:20
0,04:25
0,04:30
0,04:35
0,04:40
0,04:45
0,04:50
0,04:55
0,05:00
0,05:05
0,05:10
0,05:15
0,05:20
0,05:25
0,05:30
0,05:35
0,05:40
0,05:45
0,05:50
0,05:55
0.018519,06:00
0.019136,06:05
0.028396,06:10
0.034569,06:15
2.0192,06:20
9.4812,06:25
11.081,06:30
24.645,06:35
44.673,06:40
57.654,06:45
58.998,06:50
59.885,06:55
69.086,07:00
104.43,07:05
128.18,07:10
122.99,07:15
88.693,07:20
92.345,07:25
94.106,07:30
90.841,07:35
101.31,07:40
113.88,07:45
130.67,07:50
144.48,07:55
146.63,08:00
149.56,08:05
149.55,08:10
149.3,08:15
165.8,08:20
171.07,08:25
227.85,08:30
315.29,08:35
531.35,08:40
630.97,08:45
407.2,08:50
318.38,08:55
268.8,09:00
360.18,09:05
390.22,09:10
481.24,09:15
444.5,09:20
490.8,09:25
536.45,09:30
560.77,09:35
575.63,09:40
601.05,09:45
623.74,09:50
653.23,09:55
622.71,10:00
649.32,10:05
662.45,10:10
698.55,10:15
729.78,10:20
702.84,10:25
846.54,10:30
844.34,10:35
410.57,10:40
473.99,10:45
475.3,10:50
402.66,10:55
406.43,11:00
579.68,11:05
566.23,11:10
755.63,11:15
842.28,11:20
759.97,11:25
637.91,11:30
935.76,11:35
930.55,11:40
884.44,11:45
883.5,11:50
898.64,11:55
910.1,12:00
324.12,12:05
218.45,12:10
247.76,12:15
250.68,12:20
246.14,12:25
234.67,12:30
245.28,12:35
306.52,12:40
229.03,12:45
291.21,12:50
805.65,12:55
508.26,13:00
469.65,13:05
474.22,13:10
407.34,13:15
280.22,13:20
229.72,13:25
220.67,13:30
254.27,13:35
350.71,13:40
605.86,13:45
896.46,13:50
519.44,13:55
352.47,14:00
281.3,14:05
210.76,14:10
169.14,14:15
155.93,14:20
151.26,14:25
145.68,14:30
147.57,14:35
149.47,14:40
166.63,14:45
198.89,14:50
242.82,14:55
265.92,15:00
246.23,15:05
273.19,15:10
285.93,15:15
289.77,15:20
267.9,15:25
210.5,15:30
191.41,15:35
175.55,15:40
184.8,15:45
197.04,15:50
181.37,15:55
170.52,16:00
168.65,16:05
153.18,16:10
157.63,16:15
170.21,16:20
209.26,16:25
209.07,16:30
136.01,16:35
84.696,16:40
67.464,16:45
71.357,16:50
87.124,16:55
78.398,17:00
70.441,17:05
93.03,17:10
88.395,17:15
68.677,17:20
68.983,17:25
63.866,17:30
50.63,17:35
39.227,17:40
37.078,17:45
30.701,17:50
22.596,17:55
16.616,18:00
11.413,18:05
4.2668,18:10
0.60557,18:15
0.026544,18:20
0.020371,18:25
0.0080249,18:30
0.020371,18:35
0,18:40
0,18:45
0,18:50
0,18:55
0,19:00
0,19:05
0,19:10
0,19:15
0,19:20
0,19:25
0,19:30
0,19:35
0,19:40
0,19:45
0,19:50
0,19:55
0,20:00
0,20:05
0,20:10
0,20:15
0,20:20
0,20:25
0,20:30
0,20:35
0,20:40
0,20:45
0,20:50
0,20:55
0,21:00
0,21:05
0,21:10
0,21:15
0,21:20
0,21:25
0,21:30
0,21:35
0,21:40
0,21:45
0,21:50
0,21:55
0,22:00
0,22:05
0,22:10
0,22:15
0,22:20
0,22:25
0,22:30
0,22:35
0,22:40
0,22:45
0,22:50
0,22:55
0,23:00
0,23:05
0,23:10
0,23:15
0,23:20
0,23:25
0,23:30
0,23:35
0,23:40
0,23:45
0,23:50
0,23:55
