Month,Average_GHI,Average_DHI,Average_DNI
01,413.7096774193548,229.3548387096774,272.38709677419354
02,422.0357142857143,233.03571428571428,274.85714285714283
03,394.83870967741933,246.61290322580646,200.80645161290323
04,427.4,261.1666666666667,221.76666666666668
05,424.48387096774195,255.0,238.80645161290323
06,436.6,246.0,286.03333333333336
07,449.6774193548387,233.90322580645162,320.7741935483871
08,468.64516129032256,249.90322580645162,315.96774193548384
09,480.03333333333336,258.3666666666667,309.8666666666667
10,456.61290322580646,267.4193548387097,256.3225806451613
11,419.00000000000006,290.0,167.0
