Fecha,E_SVF,E_solacast,alpha,beta,error_solacast_SFV,error_clearsky_solacast
2023-02-07,52.21114,52.72848586853489,0.1,0.0,0.9908725772601187,143.35525498438406
2023-06-10,68.17497,67.4396442279863,0.1,0.2,1.0785861321445245,74.36646894173451
2023-06-04,50.06003,51.430617129959515,0.1,0.4,2.737887152603617,130.3588899702267
2023-03-22,70.83736999999999,70.26889958792218,0.1,0.2,0.8025007310093794,74.15055258376864
2023-03-12,46.88794,47.879443581183516,0.1,0.4,2.114623890884333,161.60389001848938
2023-06-17,41.47656,41.896776513358304,0.1,0.5,1.013142153925745,183.767501158681
2023-04-04,64.89263000000001,65.24412343932516,0.1,0.6,0.5416538662790417,97.28539823356903
2023-06-25,53.44411,54.22934266247863,0.1,0.3,1.4692594983406575,113.92722094201304
2023-03-11,24.91468,24.987156943022864,0.1,0.4,0.2909005575141344,413.79870651551033
2023-03-25,66.42598999999998,65.07800139337033,0.1,0.1,2.029309019902693,91.55759668837901
2023-06-04,50.06003,51.430617129959515,0.1,0.4,2.737887152603617,130.3588899702267
2023-06-06,56.23393,56.43152857438252,0.1,0.4,0.3513867417456239,109.64088173789912
2023-06-23,59.03664,58.06742807335999,0.1,0.4,1.641712547733088,101.82379801716046
2023-03-31,40.36077,39.16607721536506,0.1,0.1,2.960034668899899,219.87243806728603
2023-05-04,35.6419,36.37788376914725,0.1,0.2,2.0649397735453197,244.99774633402205
2023-04-25,56.76214000000001,57.13621391070003,0.1,0.7,0.6590200980794928,115.76420660427966
2023-05-08,80.60007,81.99698894600841,0.1,0.6,1.7331485518665202,51.42473229831966
2023-06-25,53.44411,54.22934266247863,0.1,0.3,1.4692594983406575,113.92722094201304
2023-01-29,97.96473999999999,102.67891061065515,0.1,1.0,4.812109551513287,24.232146733698272
2023-04-13,50.32219,50.1192669693692,0.1,0.1,0.403247614284676,155.12205803252058
2023-02-19,57.64743000000001,56.53813967029868,0.1,0.6,1.9242667534377946,123.57173719303279
